,disease,drug
7636,Idiopathic Hypertrophic Subaortic Stenosis,verapamil
7637,Pseudotumor Cerebri,acetazolamide
7638,Myelofibrosis,ruxolitinib
7639,Myelofibrosis,fedratinib
7640,Idiopathic Pulmonary Fibrosis,pirfenidone
7641,Idiopathic Pulmonary Fibrosis,nintedanib
7642,Idiopathic Pulmonary Fibrosis,interferon gamma-1b
7643,Idiopathic Short Stature,somatropin
7644,Idiopathic Thrombocytopenic Purpura,prednisone
7645,Idiopathic Thrombocytopenic Purpura,dexamethasone
7646,Idiopathic Thrombocytopenic Purpura,eltrombopag
7647,Idiopathic Thrombocytopenic Purpura,rituximab
7648,Idiopathic Thrombocytopenic Purpura,romiplostim
7649,Idiopathic Thrombocytopenic Purpura,cyclosporine
7650,Idiopathic Thrombocytopenic Purpura,immune globulin intravenous
7651,Idiopathic Thrombocytopenic Purpura,azathioprine
7652,Idiopathic Thrombocytopenic Purpura,triamcinolone
7653,Idiopathic Thrombocytopenic Purpura,rho (d) immune globulin
7654,Idiopathic Thrombocytopenic Purpura,immune globulin intravenous and subcutaneous
7655,Idiopathic Thrombocytopenic Purpura,interferon alfa-2b
7656,Intermittent Explosive Disorder,fluoxetine
7657,Intermittent Explosive Disorder,quetiapine
7658,Intermittent Explosive Disorder,paroxetine
7659,Intermittent Explosive Disorder,propranolol
7660,Intermittent Explosive Disorder,lithium
7661,IgA Nephropathy,cyclophosphamide
7662,Idiopathic Hypertrophic Subaortic Stenosis,verapamil
7663,Pseudotumor Cerebri,acetazolamide
7664,Chronic Fatigue Syndrome,modafinil
7665,Chronic Fatigue Syndrome,duloxetine
7666,Chronic Fatigue Syndrome,lisdexamfetamine
7667,Chronic Fatigue Syndrome,amantadine
7668,Chronic Fatigue Syndrome,armodafinil
7669,Idiopathic Thrombocytopenic Purpura,prednisone
7670,Idiopathic Thrombocytopenic Purpura,dexamethasone
7671,Idiopathic Thrombocytopenic Purpura,eltrombopag
7672,Idiopathic Thrombocytopenic Purpura,rituximab
7673,Idiopathic Thrombocytopenic Purpura,romiplostim
7674,Idiopathic Thrombocytopenic Purpura,cyclosporine
7675,Idiopathic Thrombocytopenic Purpura,immune globulin intravenous
7676,Idiopathic Thrombocytopenic Purpura,azathioprine
7677,Idiopathic Thrombocytopenic Purpura,triamcinolone
7678,Idiopathic Thrombocytopenic Purpura,rho (d) immune globulin
7679,Idiopathic Thrombocytopenic Purpura,immune globulin intravenous and subcutaneous
7680,Idiopathic Thrombocytopenic Purpura,interferon alfa-2b
7681,Waldenström Macroglobulinemia,ibrutinib
7682,Immunodeficiency,pegademase bovine
7683,Immunosuppression,prednisone
7684,Immunosuppression,prednisolone
7685,Immunosuppression,methylprednisolone
7686,Insulin Resistance Syndrome (Metabolic Syndrome),metformin
7687,Insulin Resistance Syndrome (Metabolic Syndrome),insulin regular
7688,Insulin Resistance Syndrome (Metabolic Syndrome),metformin
7689,Insulin Resistance Syndrome (Metabolic Syndrome),insulin regular
7690,Impetigo,mupirocin
7691,Impetigo,cefadroxil
7692,Impetigo,cefuroxime
7693,Impetigo,retapamulin
7694,Impetigo,sulconazole
7695,Impetigo,ozenoxacin
7696,Impetigo,ammoniated mercury
7697,Muscle Pain,ibuprofen
7698,Muscle Pain,naproxen
7699,Muscle Pain,acetaminophen
7700,Muscle Pain,diclofenac
7701,Muscle Pain,nabumetone
7702,Erectile Dysfunction,sildenafil
7703,Erectile Dysfunction,tadalafil
7704,Erectile Dysfunction,vardenafil
7705,Erectile Dysfunction,alprostadil
7706,Erectile Dysfunction,avanafil
7707,Borderline Personality Disorder,quetiapine
7708,Borderline Personality Disorder,lamotrigine
7709,Borderline Personality Disorder,lithium
7710,Borderline Personality Disorder,risperidone
7711,Borderline Personality Disorder,fluoxetine
7712,Borderline Personality Disorder,olanzapine
7713,Borderline Personality Disorder,buspirone
7714,Borderline Personality Disorder,clonazepam
7715,Borderline Personality Disorder,sertraline
7716,Borderline Personality Disorder,aripiprazole
7717,Borderline Personality Disorder,topiramate
7718,Borderline Personality Disorder,diazepam
7719,Borderline Personality Disorder,lorazepam
7720,Borderline Personality Disorder,escitalopram
7721,Borderline Personality Disorder,divalproex sodium
7722,Borderline Personality Disorder,alprazolam
7723,Borderline Personality Disorder,clozapine
7724,Borderline Personality Disorder,oxcarbazepine
7725,Borderline Personality Disorder,citalopram
7726,Borderline Personality Disorder,haloperidol
7727,Borderline Personality Disorder,lurasidone
7728,Borderline Personality Disorder,l-methylfolate
7729,Borderline Personality Disorder,carbamazepine
7730,Borderline Personality Disorder,asenapine
7731,Borderline Personality Disorder,paliperidone
7732,Insomnia,trazodone
7733,Insomnia,zolpidem
7734,Insomnia,temazepam
7735,Insomnia,amitriptyline
7736,Insomnia,lorazepam
7737,Insomnia,clonazepam
7738,Insomnia,mirtazapine
7739,Insomnia,doxepin
7740,Insomnia,quetiapine
7741,Insomnia,eszopiclone
7742,Insomnia,diphenhydramine
7743,Insomnia,gabapentin
7744,Insomnia,flurazepam
7745,Inclusion Conjunctivitis,doxycycline
7746,Urinary Incontinence,oxybutynin
7747,Urinary Incontinence,tolterodine
7748,Urinary Incontinence,amitriptyline
7749,Urinary Incontinence,mirabegron
7750,Urinary Incontinence,solifenacin
7751,Urinary Incontinence,hyoscyamine
7752,Urinary Incontinence,trospium
7753,Urinary Incontinence,duloxetine
7754,Urinary Incontinence,fesoterodine
7755,Urinary Incontinence,darifenacin
7756,Urinary Incontinence,oxybutynin
7757,Urinary Incontinence,tolterodine
7758,Urinary Incontinence,amitriptyline
7759,Urinary Incontinence,mirabegron
7760,Urinary Incontinence,solifenacin
7761,Urinary Incontinence,hyoscyamine
7762,Urinary Incontinence,trospium
7763,Urinary Incontinence,duloxetine
7764,Urinary Incontinence,fesoterodine
7765,Urinary Incontinence,darifenacin
7766,Indigestion,omeprazole
7767,Indigestion,ranitidine
7768,Indigestion,famotidine
7769,Indigestion,bismuth subsalicylate
7770,Indigestion,aluminum hydroxide / magnesium hydroxide / simethicone
7771,Indigestion,calcium carbonate
7772,Indigestion,magnesium hydroxide
7773,Induced Hypotension,nitroprusside
7774,Hemangioma,propranolol
7775,Eczema,triamcinolone
7776,Eczema,mometasone
7777,Eczema,hydrocortisone
7778,Eczema,clobetasol
7779,Eczema,desonide
7780,Eczema,prednisone
7781,Eczema,fluocinonide
7782,Eczema,ranitidine
7783,Eczema,desoximetasone
7784,Eczema,methotrexate
7785,Eczema,halobetasol
7786,Eczema,pimecrolimus
7787,Eczema,dexamethasone
7788,Eczema,fluocinolone
7789,Eczema,alclometasone
7790,Eczema,azathioprine
7791,Infection Prophylaxis,sulfamethoxazole / trimethoprim
7792,Infection Prophylaxis,ciprofloxacin
7793,Infection Prophylaxis,ertapenem
7794,Amebiasis,metronidazole
7795,Amebiasis,tinidazole
7796,Amebiasis,nitazoxanide
7797,Amebiasis,doxycycline
7798,Amebiasis,paromomycin
7799,Amebiasis,chloroquine
7800,Bacterial Infection,amoxicillin
7801,Bacterial Infection,ciprofloxacin
7802,Bacterial Infection,clindamycin
7803,Bacterial Infection,doxycycline
7804,Bacterial Infection,cephalexin
7805,Bacterial Infection,metronidazole
7806,Bacterial Infection,ceftriaxone
7807,Bacterial Infection,levofloxacin
7808,Bacterial Infection,sulfamethoxazole / trimethoprim
7809,Bacterial Infection,azithromycin
7810,Bacterial Infection,amoxicillin / clavulanate
7811,Bacterial Infection,vancomycin
7812,Bacterial Infection,cefuroxime
7813,Bladder Infection,ciprofloxacin
7814,Bladder Infection,nitrofurantoin
7815,Bladder Infection,cephalexin
7816,Bladder Infection,amoxicillin
7817,Bladder Infection,levofloxacin
7818,Bladder Infection,trimethoprim
7819,Bladder Infection,cefuroxime
7820,Bladder Infection,methenamine
7821,Bladder Infection,cefpodoxime
7822,Bladder Infection,fosfomycin
7823,Chlamydia Infection,azithromycin
7824,Chlamydia Infection,doxycycline
7825,Chlamydia Infection,amoxicillin
7826,Chlamydia Infection,erythromycin
7827,Chlamydia Infection,tetracycline
7828,Chlamydia Infection,levofloxacin
7829,Fungal Infections,fluconazole
7830,Tinea Corporis,betamethasone / clotrimazole
7831,Tinea Corporis,ketoconazole
7832,Tinea Corporis,clotrimazole
7833,Tinea Corporis,terbinafine
7834,Tinea Corporis,miconazole
7835,Tinea Corporis,fluconazole
7836,Tinea Corporis,econazole
7837,Tinea Corporis,ketoconazole
7838,Tinea Corporis,griseofulvin
7839,Tinea Corporis,tolnaftate
7840,Tinea Corporis,terbinafine
7841,Tinea Corporis,ciclopirox
7842,Tinea Pedis,clotrimazole
7843,Tinea Pedis,ketoconazole
7844,Tinea Pedis,terbinafine
7845,Tinea Pedis,econazole
7846,Tinea Pedis,terbinafine
7847,Tinea Pedis,betamethasone / clotrimazole
7848,Tinea Pedis,tolnaftate
7849,Tinea Pedis,ciclopirox
7850,Tinea Pedis,miconazole
7851,Tinea Pedis,griseofulvin
7852,"Onychomycosis, Fingernail",terbinafine
7853,"Onychomycosis, Fingernail",fluconazole
7854,"Onychomycosis, Fingernail",ciclopirox
7855,"Onychomycosis, Fingernail",itraconazole
7856,"Onychomycosis, Fingernail",ketoconazole
7857,"Onychomycosis, Fingernail",griseofulvin
7858,Tinea Cruris,betamethasone / clotrimazole
7859,Tinea Cruris,ketoconazole
7860,Tinea Cruris,clotrimazole
7861,Tinea Cruris,econazole
7862,Tinea Cruris,fluconazole
7863,Tinea Cruris,terbinafine
7864,Tinea Cruris,miconazole
7865,Tinea Cruris,terbinafine
7866,Tinea Cruris,tolnaftate
7867,Tinea Cruris,ciclopirox
7868,Tinea Cruris,griseofulvin
7869,Tinea Cruris,clioquinol
7870,Onychomycosis,undecylenic acid
7871,Tinea Capitis,terbinafine
7872,Tinea Capitis,griseofulvin
7873,Tinea Capitis,itraconazole
7874,"Onychomycosis, Toenail",terbinafine
7875,"Onychomycosis, Toenail",ciclopirox
7876,"Onychomycosis, Toenail",fluconazole
7877,"Onychomycosis, Toenail",ketoconazole
7878,"Onychomycosis, Toenail",itraconazole
7879,"Onychomycosis, Toenail",efinaconazole
7880,"Onychomycosis, Toenail",griseofulvin
7881,"Onychomycosis, Toenail",tavaborole
7882,Sinusitis,amoxicillin
7883,Sinusitis,prednisone
7884,Sinusitis,amoxicillin / clavulanate
7885,Sinusitis,cefdinir
7886,Sinusitis,azithromycin
7887,Sinusitis,levofloxacin
7888,Sinusitis,cefuroxime
7889,Sinusitis,clarithromycin
7890,Sinusitis,ciprofloxacin
7891,Sinusitis,clindamycin
7892,Sinusitis,sulfamethoxazole / trimethoprim
7893,Sinusitis,moxifloxacin
7894,Skin or Soft Tissue Infection,cephalexin
7895,Skin or Soft Tissue Infection,clindamycin
7896,Skin or Soft Tissue Infection,doxycycline
7897,Skin or Soft Tissue Infection,amoxicillin
7898,Skin or Soft Tissue Infection,ciprofloxacin
7899,Skin or Soft Tissue Infection,amoxicillin / clavulanate
7900,Skin or Soft Tissue Infection,minocycline
7901,Skin or Soft Tissue Infection,azithromycin
7902,Skin or Soft Tissue Infection,metronidazole
7903,Skin or Soft Tissue Infection,clarithromycin
7904,Skin or Soft Tissue Infection,dicloxacillin
7905,Skin or Soft Tissue Infection,levofloxacin
7906,Skin or Soft Tissue Infection,erythromycin
7907,Skin or Soft Tissue Infection,cefdinir
7908,Bacterial Skin Infection,sulfamethoxazole / trimethoprim
7909,Bacterial Skin Infection,bacitracin
7910,Bacterial Skin Infection,bacitracin / neomycin / polymyxin b
7911,Bacterial Skin Infection,benzalkonium chloride / lidocaine
7912,Bacterial Skin Infection,bacitracin / polymyxin b
7913,Bacterial Skin Infection,hydrocortisone / neomycin / polymyxin b
7914,Bacterial Skin Infection,bacitracin / hydrocortisone / neomycin / polymyxin b
7915,Bacterial Skin Infection,fluocinolone / neomycin
7916,Bacterial Skin Infection,bacitracin / neomycin / polymyxin b / pramoxine
7917,Bacterial Skin Infection,neomycin / polymyxin b / pramoxine
7918,Skin or Soft Tissue Infection,cephalexin
7919,Skin or Soft Tissue Infection,clindamycin
7920,Skin or Soft Tissue Infection,doxycycline
7921,Skin or Soft Tissue Infection,amoxicillin
7922,Skin or Soft Tissue Infection,ciprofloxacin
7923,Skin or Soft Tissue Infection,amoxicillin / clavulanate
7924,Skin or Soft Tissue Infection,minocycline
7925,Skin or Soft Tissue Infection,azithromycin
7926,Skin or Soft Tissue Infection,metronidazole
7927,Skin or Soft Tissue Infection,clarithromycin
7928,Skin or Soft Tissue Infection,dicloxacillin
7929,Skin or Soft Tissue Infection,levofloxacin
7930,Skin or Soft Tissue Infection,erythromycin
7931,Skin or Soft Tissue Infection,cefdinir
7932,Urinary Tract Infection,ciprofloxacin
7933,Urinary Tract Infection,nitrofurantoin
7934,Urinary Tract Infection,sulfamethoxazole / trimethoprim
7935,Urinary Tract Infection,amoxicillin
7936,Urinary Tract Infection,doxycycline
7937,Urinary Tract Infection,levofloxacin
7938,Urinary Tract Infection,ceftriaxone
7939,Urinary Tract Infection,amoxicillin / clavulanate
7940,Urinary Tract Infection,cefuroxime
7941,Urinary Tract Infection,trimethoprim
7942,Urinary Tract Infection,methenamine
7943,Urinary Tract Infection,ampicillin
7944,Whipworm Infection,mebendazole
7945,Whipworm Infection,albendazole
7946,Infectious Diarrhea,ciprofloxacin
7947,Campylobacter Gastroenteritis,erythromycin
7948,Campylobacter Gastroenteritis,ofloxacin
7949,Campylobacter Gastroenteritis,minocycline
7950,Infectious Mononucleosis,acyclovir
7951,Inflammatory Bowel Disease,prednisone
7952,Inflammatory Bowel Disease,budesonide
7953,Inflammatory Bowel Disease,mesalamine
7954,Inflammatory Bowel Disease,sulfasalazine
7955,Inflammatory Bowel Disease,hydrocortisone
7956,Inflammatory Bowel Disease,azathioprine
7957,Inflammatory Bowel Disease,dexamethasone
7958,Inflammatory Bowel Disease,mercaptopurine
7959,Inflammatory Bowel Disease,infliximab
7960,Inflammatory Bowel Disease,cyclosporine
7961,Inflammatory Bowel Disease,corticotropin
7962,Inflammatory Bowel Disease,cromolyn
7963,Inflammatory Conditions,meloxicam
7964,Inflammatory Conditions,prednisone
7965,Inflammatory Conditions,methylprednisolone
7966,Inflammatory Conditions,prednisolone
7967,Inflammatory Conditions,dexamethasone
7968,Inflammatory Conditions,betamethasone
7969,Inflammatory Conditions,hydrocortisone
7970,Inflammatory Conditions,magnesium salicylate
7971,Inflammatory Conditions,tolmetin
7972,Influenza,oseltamivir
7973,Influenza,amantadine
7974,Influenza,acetaminophen / dextromethorphan / guaifenesin / phenylephrine
7975,Influenza,zanamivir
7976,Influenza,acetaminophen / chlorpheniramine
7977,Influenza,acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine
7978,Influenza,peramivir
7979,Influenza,acetaminophen / chlorpheniramine / dextromethorphan
7980,Influenza,acetaminophen / dextromethorphan / diphenhydramine
7981,Influenza,baloxavir marboxil
7982,Influenza A,amantadine
7983,Influenza A,rimantadine
7984,Influenza Prophylaxis,"influenza virus vaccine, inactivated"
7985,Influenza Prophylaxis,oseltamivir
7986,Influenza Prophylaxis,amantadine
7987,Influenza Prophylaxis,"influenza virus vaccine, live, trivalent"
7988,Influenza Prophylaxis,rimantadine
7989,Influenza Prophylaxis,zanamivir
7990,Anthrax,ciprofloxacin
7991,Anthrax,levofloxacin
7992,Anthrax,doxycycline
7993,Anthrax,moxifloxacin
7994,Anthrax,penicillin g potassium
7995,Anthrax,chloramphenicol
7996,Anthrax,ofloxacin
7997,Anthrax,anthrax immune globulin intravenous
7998,Anthrax,ciprofloxacin
7999,Anthrax,levofloxacin
8000,Anthrax,doxycycline
8001,Anthrax,moxifloxacin
8002,Anthrax,penicillin g potassium
8003,Anthrax,chloramphenicol
8004,Anthrax,ofloxacin
8005,Anthrax,anthrax immune globulin intravenous
8006,Inhibition of Intraoperative Miosis,diclofenac
8007,Inhibition of Intraoperative Miosis,flurbiprofen
8008,Muscle Pain,ibuprofen
8009,Muscle Pain,naproxen
8010,Muscle Pain,acetaminophen
8011,Muscle Pain,diclofenac
8012,Muscle Pain,nabumetone
8013,Muscle Pain,ibuprofen
8014,Muscle Pain,naproxen
8015,Muscle Pain,acetaminophen
8016,Muscle Pain,diclofenac
8017,Muscle Pain,nabumetone
8018,Muscle Pain,ibuprofen
8019,Muscle Pain,naproxen
8020,Muscle Pain,acetaminophen
8021,Muscle Pain,diclofenac
8022,Muscle Pain,nabumetone
8023,Insect Bites,benzocaine
8024,Insect Bites,pramoxine / zinc acetate
8025,Insomnia,trazodone
8026,Insomnia,zolpidem
8027,Insomnia,temazepam
8028,Insomnia,amitriptyline
8029,Insomnia,lorazepam
8030,Insomnia,clonazepam
8031,Insomnia,mirtazapine
8032,Insomnia,doxepin
8033,Insomnia,quetiapine
8034,Insomnia,eszopiclone
8035,Insomnia,diphenhydramine
8036,Insomnia,gabapentin
8037,Insomnia,flurazepam
8038,"Insomnia, Stimulant-Associated",clonidine
8039,"Diabetes, Type 1",insulin glargine
8040,"Diabetes, Type 1",insulin lispro
8041,"Diabetes, Type 1",insulin aspart
8042,"Diabetes, Type 1",insulin regular
8043,"Diabetes, Type 1",insulin glulisine
8044,Insulin Resistance Syndrome (Metabolic Syndrome),metformin
8045,Insulin Resistance Syndrome (Metabolic Syndrome),insulin regular
8046,Insulinoma,octreotide
8047,Intermittent Claudication,cilostazol
8048,Intermittent Claudication,pentoxifylline
8049,Intermittent Explosive Disorder,fluoxetine
8050,Intermittent Explosive Disorder,quetiapine
8051,Intermittent Explosive Disorder,paroxetine
8052,Intermittent Explosive Disorder,propranolol
8053,Intermittent Explosive Disorder,lithium
8054,Interstitial Cystitis,phenazopyridine
8055,Interstitial Cystitis,amitriptyline
8056,Interstitial Cystitis,hydroxyzine
8057,Interstitial Cystitis,pentosan polysulfate sodium
8058,Interstitial Cystitis,trospium
8059,Interstitial Cystitis,imipramine
8060,Interstitial Cystitis,dimethyl sulfoxide
8061,Interstitial Lung Disease,prednisone
8062,Interstitial Lung Disease,prednisone
8063,Pulmonary Fibrosis,mycophenolate mofetil
8064,Pulmonary Fibrosis,infliximab
8065,Intertrigo,clotrimazole
8066,Intertrigo,hydrocortisone
8067,Intertrigo,miconazole
8068,Intertrigo,clotrimazole
8069,Intertrigo,hydrocortisone
8070,Intertrigo,miconazole
8071,Amebiasis,metronidazole
8072,Amebiasis,tinidazole
8073,Amebiasis,nitazoxanide
8074,Amebiasis,doxycycline
8075,Amebiasis,paromomycin
8076,Amebiasis,chloroquine
8077,Intestinal Arterial Insufficiency,mercaptopurine
8078,Intra- or Post-op SVT or Hypertension,esmolol
8079,Intra-arterial Digital Subtraction Angiography,iodixanol
8080,Intra-arterial Digital Subtraction Angiography,ioversol
8081,Intra-arterial Digital Subtraction Angiography,iopromide
8082,Intraabdominal Infection,meropenem
8083,Intraabdominal Infection,ciprofloxacin
8084,Intraabdominal Infection,metronidazole
8085,Intraabdominal Infection,clindamycin
8086,Intraabdominal Infection,piperacillin / tazobactam
8087,Intraabdominal Infection,ceftriaxone
8088,Intraabdominal Infection,moxifloxacin
8089,Intraabdominal Infection,amikacin
8090,Intraabdominal Infection,cefotaxime
8091,Intraabdominal Infection,cefepime
8092,Intraabdominal Infection,ceftazidime
8093,Intraabdominal Infection,gentamicin
8094,Intraabdominal Infection,doripenem
8095,Intraabdominal Infection,tigecycline
8096,Pseudotumor Cerebri,acetazolamide
8097,Brain Tumor,lomustine
8098,Brain Tumor,everolimus
8099,Brain Tumor,methotrexate
8100,Brain Tumor,carmustine
8101,Brain Tumor,cyclophosphamide
8102,Brain Tumor,cisplatin
8103,Intraocular Hypertension,latanoprost
8104,Intraocular Hypertension,timolol
8105,Intraocular Hypertension,brimonidine
8106,Intraocular Hypertension,dorzolamide / timolol
8107,Intraocular Hypertension,dorzolamide
8108,Intraocular Hypertension,travoprost
8109,Intraocular Hypertension,bimatoprost
8110,Intraocular Hypertension,brimonidine / timolol
8111,Intraocular Hypertension,pilocarpine
8112,Intraocular Hypertension,brinzolamide
8113,Intraocular Hypertension,levobunolol
8114,Intravenous Digital Subtraction Angiography,ioversol
8115,Intravenous Urography,ioversol
8116,"Mucormycosis, Invasive",isavuconazonium
8117,Trophoblastic Disease,methotrexate
8118,Trophoblastic Disease,dinoprostone
8119,Trophoblastic Disease,dactinomycin
8120,Psoriasis,clobetasol
8121,Psoriasis,methotrexate
8122,Psoriasis,triamcinolone
8123,Psoriasis,fluocinonide
8124,Psoriasis,triamcinolone
8125,Psoriasis,calcipotriene
8126,Psoriasis,mometasone
8127,Psoriasis,desonide
8128,Psoriasis,prednisone
8129,Psoriasis,acitretin
8130,Psoriasis,cyclosporine
8131,Psoriasis,hydrocortisone
8132,Psoriasis,ustekinumab
8133,Psoriasis,adalimumab
8134,Psoriasis,betamethasone / calcipotriene
8135,Muscle Spasm (Involuntary Hypertonicity),cyclobenzaprine
8136,Muscle Spasm (Involuntary Hypertonicity),tizanidine
8137,Muscle Spasm (Involuntary Hypertonicity),baclofen
8138,Muscle Spasm (Involuntary Hypertonicity),methocarbamol
8139,Muscle Spasm (Involuntary Hypertonicity),diazepam
8140,Muscle Spasm (Involuntary Hypertonicity),carisoprodol
8141,Muscle Spasm (Involuntary Hypertonicity),metaxalone
8142,Muscle Spasm (Involuntary Hypertonicity),chlorzoxazone
8143,Muscle Spasm (Involuntary Hypertonicity),orphenadrine
8144,Muscle Spasm (Involuntary Hypertonicity),aspirin / caffeine / orphenadrine
8145,Muscle Spasm (Involuntary Hypertonicity),aspirin / carisoprodol
8146,Muscle Spasm (Involuntary Hypertonicity),aspirin / carisoprodol / codeine
8147,Borderline Personality Disorder,quetiapine
8148,Borderline Personality Disorder,lamotrigine
8149,Borderline Personality Disorder,lithium
8150,Borderline Personality Disorder,risperidone
8151,Borderline Personality Disorder,fluoxetine
8152,Borderline Personality Disorder,olanzapine
8153,Borderline Personality Disorder,buspirone
8154,Borderline Personality Disorder,clonazepam
8155,Borderline Personality Disorder,sertraline
8156,Borderline Personality Disorder,aripiprazole
8157,Borderline Personality Disorder,topiramate
8158,Borderline Personality Disorder,diazepam
8159,Borderline Personality Disorder,lorazepam
8160,Borderline Personality Disorder,escitalopram
8161,Borderline Personality Disorder,divalproex sodium
8162,Borderline Personality Disorder,alprazolam
8163,Borderline Personality Disorder,clozapine
8164,Borderline Personality Disorder,oxcarbazepine
8165,Borderline Personality Disorder,citalopram
8166,Borderline Personality Disorder,haloperidol
8167,Borderline Personality Disorder,lurasidone
8168,Borderline Personality Disorder,l-methylfolate
8169,Borderline Personality Disorder,carbamazepine
8170,Borderline Personality Disorder,asenapine
8171,Borderline Personality Disorder,paliperidone
8172,Idiopathic Pulmonary Fibrosis,pirfenidone
8173,Idiopathic Pulmonary Fibrosis,nintedanib
8174,Idiopathic Pulmonary Fibrosis,interferon gamma-1b
8175,Iridocyclitis,prednisone
8176,Iridocyclitis,corticotropin
8177,Iridocyclitis,dexamethasone
8178,Iridocyclitis,triamcinolone
8179,Iridocyclitis,cortisone
8180,Iritis,prednisolone
8181,Iritis,prednisone
8182,Iritis,dexamethasone
8183,Iritis,loteprednol
8184,Iritis,dexamethasone
8185,Iritis,triamcinolone
8186,Iritis,loteprednol / tobramycin
8187,Iritis,corticotropin
8188,Iritis,cortisone
8189,Iron Deficiency Anemia,ferrous sulfate
8190,Iron Deficiency Anemia,ferrous gluconate
8191,Iron Deficiency Anemia,ferrous fumarate
8192,Iron Deficiency Anemia,iron polysaccharide
8193,Iron Deficiency Anemia,ferumoxytol
8194,Iron Deficiency Anemia,iron sucrose
8195,Iron Overload,deferasirox
8196,Iron Overload,deferiprone
8197,Hemochromatosis,deferasirox
8198,"Iron Poisoning, Acute",deferoxamine
8199,"Iron Poisoning, Chronic",deferoxamine
8200,Cardiac Arrhythmia,isoproterenol
8201,Constipation,docusate
8202,Constipation,polyethylene glycol 3350
8203,Constipation,bisacodyl
8204,Constipation,magnesium oxide
8205,Constipation,magnesium citrate
8206,Constipation,psyllium
8207,Constipation,linaclotide
8208,Constipation,magnesium hydroxide
8209,Urinary Frequency,oxybutynin
8210,Urinary Frequency,tolterodine
8211,Urinary Frequency,mirabegron
8212,Urinary Frequency,solifenacin
8213,Urinary Frequency,trospium
8214,Urinary Frequency,darifenacin
8215,Urinary Frequency,fesoterodine
8216,Urinary Frequency,flavoxate
8217,Urinary Frequency,onabotulinumtoxinA
8218,Irritable Bowel Syndrome,dicyclomine
8219,Irritable Bowel Syndrome,hyoscyamine
8220,Irritable Bowel Syndrome,amitriptyline
8221,Irritable Bowel Syndrome,chlordiazepoxide / clidinium
8222,Irritable Bowel Syndrome,atropine / hyoscyamine / phenobarbital / scopolamine
8223,Irritable Bowel Syndrome,cholestyramine
8224,Irritable Bowel Syndrome,escitalopram
8225,Irritable Bowel Syndrome,nortriptyline
8226,Irritable Bowel Syndrome,psyllium
8227,Irritable Bowel Syndrome,venlafaxine
8228,Aseptic Necrosis,ibuprofen
8229,Aseptic Necrosis,alendronate
8230,Aseptic Necrosis,diclofenac
8231,Aseptic Necrosis,aspirin
8232,Aseptic Necrosis,naproxen
8233,Ischemic Stroke,clopidogrel
8234,Ischemic Stroke,aspirin
8235,Ischemic Stroke,alteplase
8236,Ischemic Stroke,nimodipine
8237,"Ischemic Stroke, Prophylaxis",aspirin
8238,"Ischemic Stroke, Prophylaxis",clopidogrel
8239,"Ischemic Stroke, Prophylaxis",pravastatin
8240,"Ischemic Stroke, Prophylaxis",aspirin / dipyridamole
8241,Dermal Ulcer,collagenase
8242,Dermal Ulcer,becaplermin
8243,Dermal Ulcer,cadexomer iodine
8244,Pruritus,hydroxyzine
8245,Pruritus,diphenhydramine
8246,Pruritus,gabapentin
8247,Pruritus,hydrocortisone
8248,Pruritus,cyproheptadine
8249,Pruritus,doxepin
8250,Pruritus,ondansetron
8251,Pruritus,ammonium lactate
8252,Pruritus,calamine
8253,Pruritus,lidocaine
8254,Pruritus,diphenhydramine
8255,Pruritus,hydroxyzine
8256,Pruritus,diphenhydramine
8257,Pruritus,gabapentin
8258,Pruritus,hydrocortisone
8259,Pruritus,cyproheptadine
8260,Pruritus,doxepin
8261,Pruritus,ondansetron
8262,Pruritus,ammonium lactate
8263,Pruritus,calamine
8264,Pruritus,lidocaine
8265,Pruritus,diphenhydramine
8266,Idiopathic Thrombocytopenic Purpura,prednisone
8267,Idiopathic Thrombocytopenic Purpura,dexamethasone
8268,Idiopathic Thrombocytopenic Purpura,eltrombopag
8269,Idiopathic Thrombocytopenic Purpura,rituximab
8270,Idiopathic Thrombocytopenic Purpura,romiplostim
8271,Idiopathic Thrombocytopenic Purpura,cyclosporine
8272,Idiopathic Thrombocytopenic Purpura,immune globulin intravenous
8273,Idiopathic Thrombocytopenic Purpura,azathioprine
8274,Idiopathic Thrombocytopenic Purpura,triamcinolone
8275,Idiopathic Thrombocytopenic Purpura,rho (d) immune globulin
8276,Idiopathic Thrombocytopenic Purpura,immune globulin intravenous and subcutaneous
8277,Idiopathic Thrombocytopenic Purpura,interferon alfa-2b
8278,IV Catheter Clot,alteplase
8279,Japanese Encephalitis Virus Prophylaxis,"japanese enceph vacc sa14-14-2, inactivated"
8280,Hyperbilirubinemia,phenobarbital
8281,Jet Lag,armodafinil
8282,Tinea Cruris,betamethasone / clotrimazole
8283,Tinea Cruris,ketoconazole
8284,Tinea Cruris,clotrimazole
8285,Tinea Cruris,econazole
8286,Tinea Cruris,fluconazole
8287,Tinea Cruris,terbinafine
8288,Tinea Cruris,miconazole
8289,Tinea Cruris,terbinafine
8290,Tinea Cruris,tolnaftate
8291,Tinea Cruris,ciclopirox
8292,Tinea Cruris,griseofulvin
8293,Tinea Cruris,clioquinol
8294,Joint Infection,clindamycin
8295,Joint Infection,ciprofloxacin
8296,Joint Infection,cefuroxime
